n_obs,condition,algorithm,trial,ctrl_ms,max_ep,min_clear,tube_safe,collision_free,task_success,qp_infeas_pct
5,nominal,CBF-QP,19,6.198003975964595,0.7392231111497815,1.1577061097482368,True,True,True,nan
5,nominal,CBF-QP,20,6.209106151802671,0.7392231395476873,0.8138106600957176,True,True,True,nan
5,nominal,CBF-QP,21,6.201373385829558,0.7506807793571819,0.6754023935220309,True,True,True,nan
5,nominal,CBF-QP,22,6.207582483868462,1.1387316624291872,0.9042908635384715,False,True,True,nan
5,nominal,CBF-QP,23,6.201565858951817,0.739223128056691,1.4818217156318536,True,True,True,nan
5,nominal,CBF-QP,24,6.2158505123366865,0.9768726272689002,0.6632769692858498,True,True,True,nan
5,disturbed,GA-STT,0,3.195040006955615,0.5237608944237115,0.6714521846351982,True,True,True,nan
5,disturbed,GA-STT,1,3.0529703042401883,0.4934166467874609,1.009021830013825,True,True,True,nan
5,disturbed,GA-STT,2,3.104677964578011,0.6028800973678206,0.8275817764014839,True,True,False,nan
5,disturbed,GA-STT,3,3.205389337130532,0.5545860652985527,0.8804350037300777,True,True,False,nan
5,disturbed,GA-STT,4,2.8854970651500618,0.5957249083786997,1.0986163541707836,True,True,False,nan
5,disturbed,GA-STT,5,2.890864907020686,0.45762497215245995,1.804995748352381,True,True,True,nan
5,disturbed,GA-STT,6,2.887985228337669,0.49874891893838574,1.5757875104693262,True,True,True,nan
5,disturbed,GA-STT,7,3.1222259127101197,0.5529074368695995,0.9494765788953966,True,True,True,nan
5,disturbed,GA-STT,8,2.9348761726696044,0.5464741187324769,0.9096337779290635,True,True,True,nan
5,disturbed,GA-STT,9,3.059373561670973,0.5459471423729527,0.8425611830682858,True,True,True,nan
5,disturbed,GA-STT,10,3.0320747805180894,0.6966228874695797,1.122354024360023,True,True,False,nan
5,disturbed,GA-STT,11,3.0295281530691,0.4420643704796842,1.0462491847904243,True,True,True,nan
5,disturbed,GA-STT,12,2.890688580645405,0.560944436124541,1.4402215544352608,True,True,True,nan
5,disturbed,GA-STT,13,3.1777801195468305,0.5457875827452584,0.9235420219027416,True,True,True,nan
5,disturbed,GA-STT,14,3.165879636308344,0.44683352283390215,0.9998785755156461,True,True,True,nan
